statusId,sensorName,value,timestamp
4,accelerometer-kx023,"[0.19153613,2.72939,9.289502]",1560899183499
4,accelerometer-kx023,"[0.21068975,2.7868507,9.174581]",1560899183504
4,accelerometer-kx023,"[0.2681506,2.8538885,9.021352]",1560899183510
4,accelerometer-kx023,"[0.30645782,2.920926,8.944737]",1560899183515
4,accelerometer-kx023,"[0.39264908,2.9496565,8.992621]",1560899183520
4,accelerometer-kx023,"[0.4405331,3.0262709,9.069236]",1560899183524
4,accelerometer-kx023,"[0.45010993,2.9879637,9.069236]",1560899183529
4,accelerometer-kx023,"[0.49799395,2.96881,9.165004]",1560899183534
4,accelerometer-kx023,"[0.49799395,2.8443117,9.260772]",1560899183539
4,accelerometer-kx023,"[0.50757074,2.834735,9.375694]",1560899183545
4,accelerometer-kx023,"[0.46926352,2.825158,9.5385]",1560899183550
4,accelerometer-kx023,"[0.40222588,2.8060043,9.605537]",1560899183555
4,accelerometer-kx023,"[0.31603462,2.815581,9.634268]",1560899183559
4,accelerometer-kx023,"[0.32561144,2.767697,9.662998]",1560899183564
4,accelerometer-kx023,"[0.2873042,2.7485435,9.739613]",1560899183569
4,accelerometer-kx023,"[0.23942018,2.6910827,9.739613]",1560899183574
4,accelerometer-kx023,"[0.20111294,2.7006595,9.720459]",1560899183580
4,accelerometer-kx023,"[0.23942018,2.6719291,9.643845]",1560899183585
4,accelerometer-kx023,"[0.17238252,2.6623523,9.643845]",1560899183590
4,accelerometer-kx023,"[0.25857377,2.719813,9.557653]",1560899183594
4,accelerometer-kx023,"[0.2777274,2.719813,9.414001]",1560899183599
4,accelerometer-kx023,"[0.33518824,2.8443117,9.414001]",1560899183604
4,accelerometer-kx023,"[0.33518824,2.8538885,9.299079]",1560899183610
4,accelerometer-kx023,"[0.37349546,2.834735,9.251195]",1560899183615
4,accelerometer-kx023,"[0.4405331,2.9017725,9.203311]",1560899183620
4,accelerometer-kx023,"[0.4309563,2.8060043,9.232041]",1560899183625
4,accelerometer-kx023,"[0.4309563,2.834735,9.260772]",1560899183629
4,accelerometer-kx023,"[0.46926352,2.834735,9.270349]",1560899183634
4,accelerometer-kx023,"[0.49799395,2.7868507,9.337387]",1560899183639
4,accelerometer-kx023,"[0.4309563,2.767697,9.289502]",1560899183644
4,accelerometer-kx023,"[0.4405331,2.681506,9.461885]",1560899183650
4,accelerometer-kx023,"[0.37349546,2.7581203,9.442732]",1560899183655
4,accelerometer-kx023,"[0.2777274,2.6623523,9.500193]",1560899183659
4,accelerometer-kx023,"[0.2873042,2.681506,9.481039]",1560899183664
4,accelerometer-kx023,"[0.2873042,2.681506,9.481039]",1560899183669
4,accelerometer-kx023,"[0.2873042,2.681506,9.481039]",1560899183675
4,accelerometer-kx023,"[0.32561144,2.7102363,9.481039]",1560899183680
4,accelerometer-kx023,"[0.32561144,2.7102363,9.481039]",1560899183685
4,accelerometer-kx023,"[0.38307226,2.7102363,9.385271]",1560899183689
4,accelerometer-kx023,"[0.51714754,2.6048915,9.270349]",1560899183694
4,accelerometer-kx023,"[0.60333884,2.633622,9.222465]",1560899183699
4,accelerometer-kx023,"[0.6991069,2.585738,9.11712]",1560899183704
4,accelerometer-kx023,"[0.7374141,2.6048915,8.963891]",1560899183710
4,accelerometer-kx023,"[0.7469909,2.585738,8.839393]",1560899183715
4,accelerometer-kx023,"[0.7086837,2.5570073,8.973468]",1560899183720
4,accelerometer-kx023,"[0.7086837,2.4516625,8.848969]",1560899183725
4,accelerometer-kx023,"[0.7086837,2.3750482,8.810662]",1560899183729
4,accelerometer-kx023,"[0.7661445,2.3558946,8.810662]",1560899183734
4,accelerometer-kx023,"[0.842759,2.2409728,8.734048]",1560899183739
4,accelerometer-kx023,"[0.93852705,2.2409728,8.63828]",1560899183744
4,accelerometer-kx023,"[1.0247183,2.2122424,8.494628]",1560899183750
4,accelerometer-kx023,"[1.1300632,2.1643584,8.303091]",1560899183755
4,accelerometer-kx023,"[1.292869,2.1068976,8.197746]",1560899183759
4,accelerometer-kx023,"[1.4748282,2.2026656,8.2169]",1560899183764
4,accelerometer-kx023,"[1.6950948,2.1739352,8.015787]",1560899183769
4,accelerometer-kx023,"[1.8770541,2.1452048,7.881712]",1560899183775
4,accelerometer-kx023,"[2.0494366,2.1643584,7.872135]",1560899183780
4,accelerometer-kx023,"[2.0111294,2.2505496,7.881712]",1560899183785
4,accelerometer-kx023,"[1.8579005,2.4612393,7.833828]",1560899183789
4,accelerometer-kx023,"[1.541866,2.72939,7.9966335]",1560899183794
4,accelerometer-kx023,"[0.6991069,3.7924154,8.264784]",1560899183799
4,accelerometer-kx023,"[1.6472107,3.41892,9.050082]",1560899183804
4,accelerometer-kx023,"[1.091756,2.5953147,8.992621]",1560899183810
4,accelerometer-kx023,"[-3.5051112,-0.009576807,8.130709]",1560899183815
4,accelerometer-kx023,"[-1.6376339,1.9728222,6.8282633]",1560899183820
4,accelerometer-kx023,"[-0.62249243,2.9496565,7.575254]",1560899183824
4,accelerometer-kx023,"[0.31603462,3.323152,8.236053]",1560899183829
4,accelerometer-kx023,"[3.4859576,-0.49799395,5.8705826]",1560899183834
4,accelerometer-kx023,"[7.192182,-2.480393,4.8267107]",1560899183839
4,accelerometer-kx023,"[6.579266,-1.934515,3.4763808]",1560899183845
4,accelerometer-kx023,"[6.4068837,-0.60333884,3.5242648]",1560899183850
