statusId,sensorName,value,timestamp
4,orientation,"[323.33,-21.56,-0.47]",1560899183504
4,orientation,"[322.77,-21.42,-0.39]",1560899183515
4,orientation,"[322.16,-21.3,-0.28]",1560899183524
4,orientation,"[321.52,-21.14,-0.14999999]",1560899183534
4,orientation,"[320.85,-20.939999,-0.02]",1560899183545
4,orientation,"[320.19,-20.73,0.099999994]",1560899183555
4,orientation,"[319.57,-20.49,0.19999999]",1560899183564
4,orientation,"[318.96,-20.23,0.26999998]",1560899183574
4,orientation,"[318.36,-19.97,0.35]",1560899183585
4,orientation,"[317.82,-19.72,0.42999998]",1560899183594
4,orientation,"[317.35,-19.51,0.53999996]",1560899183604
4,orientation,"[316.9,-19.34,0.65]",1560899183615
4,orientation,"[316.4,-19.16,0.77]",1560899183624
4,orientation,"[315.88998,-18.96,0.89]",1560899183634
4,orientation,"[315.34,-18.74,1.01]",1560899183645
4,orientation,"[314.83,-18.51,1.11]",1560899183655
4,orientation,"[314.31,-18.27,1.2099999]",1560899183664
4,orientation,"[313.78,-18.08,1.29]",1560899183674
4,orientation,"[313.12,-17.85,1.41]",1560899183685
4,orientation,"[312.49,-17.6,1.55]",1560899183694
4,orientation,"[311.81,-17.35,1.74]",1560899183704
4,orientation,"[311.18,-17.119999,1.9399999]",1560899183715
4,orientation,"[310.53,-16.859999,2.12]",1560899183724
4,orientation,"[309.77,-16.58,2.36]",1560899183734
4,orientation,"[309.06,-16.33,2.6299999]",1560899183745
4,orientation,"[308.71,-16.25,2.86]",1560899183755
4,orientation,"[308.55,-16.13,3.1499999]",1560899183764
4,orientation,"[308.25,-16.01,3.51]",1560899183775
4,orientation,"[308.00998,-15.92,3.8999999]",1560899183785
4,orientation,"[308.11,-15.99,4.17]",1560899183794
4,orientation,"[308.36,-16.17,4.48]",1560899183804
4,orientation,"[308.88998,-15.62,3.58]",1560899183815
4,orientation,"[309.74,-15.83,3.3999999]",1560899183824
4,orientation,"[308.19,-15.32,4.29]",1560899183834
4,orientation,"[305.27,-14.559999,6.06]",1560899183845
4,orientation,"[303.83,-14.46,7.5899997]",1560899183854
4,orientation,"[303.65,-14.7699995,8.54]",1560899183864
4,orientation,"[303.78,-14.849999,8.82]",1560899183875
4,orientation,"[303.53998,-14.549999,8.849999]",1560899183885
4,orientation,"[303.02,-14.07,8.9]",1560899183894
4,orientation,"[302.43,-13.7,9.25]",1560899183905
4,orientation,"[301.44998,-13.11,9.69]",1560899183915
4,orientation,"[301.12,-12.67,9.79]",1560899183924
4,orientation,"[299.66998,-11.78,10.38]",1560899183934
4,orientation,"[298.8,-11.05,10.63]",1560899183945
4,orientation,"[298.87,-10.65,10.469999]",1560899183954
4,orientation,"[298.97998,-10.25,10.33]",1560899183964
4,orientation,"[298.8,-9.62,10.13]",1560899183975
4,orientation,"[298.78,-9.139999,10.08]",1560899183984
4,orientation,"[298.65,-8.79,10.429999]",1560899183994
4,orientation,"[298.52,-8.48,10.849999]",1560899184005
4,orientation,"[298.57,-8.179999,11.059999]",1560899184015
4,orientation,"[298.88,-8.0,11.23]",1560899184024
4,orientation,"[299.18,-7.79,11.32]",1560899184034
4,orientation,"[298.57,-7.17,11.5199995]",1560899184045
4,orientation,"[297.88,-6.24,11.13]",1560899184054
4,orientation,"[297.86,-5.8599997,10.98]",1560899184064
4,orientation,"[296.91998,-4.31,9.2699995]",1560899184075
4,orientation,"[298.35,-3.6999998,6.94]",1560899184084
4,orientation,"[300.9,-3.34,4.27]",1560899184094
4,orientation,"[300.35,-1.99,2.19]",1560899184105
4,orientation,"[300.22,-1.18,0.58]",1560899184114
4,orientation,"[302.06,-0.89,-1.53]",1560899184124
4,orientation,"[305.37,-0.5,-4.52]",1560899184135
4,orientation,"[307.22,0.48,-7.46]",1560899184145
4,orientation,"[309.88,1.35,-10.429999]",1560899184154
4,orientation,"[311.56,2.1699998,-12.87]",1560899184164
4,orientation,"[304.78998,3.84,-13.95]",1560899184175
4,orientation,"[296.41998,5.5299997,-14.73]",1560899184184
4,orientation,"[289.91998,7.04,-15.799999]",1560899184194
4,orientation,"[286.21,8.179999,-17.1]",1560899184205
4,orientation,"[281.54,9.639999,-18.47]",1560899184214
4,orientation,"[275.88,11.45,-19.91]",1560899184224
4,orientation,"[271.38,13.179999,-21.4]",1560899184235
4,orientation,"[267.75,14.91,-22.3]",1560899184245
4,orientation,"[262.68,17.199999,-23.92]",1560899184254
4,orientation,"[258.02,19.8,-24.98]",1560899184264
4,orientation,"[256.11,22.13,-25.24]",1560899184275
4,orientation,"[256.44998,24.01,-25.05]",1560899184284
4,orientation,"[257.83,25.43,-25.01]",1560899184294
4,orientation,"[259.36,26.75,-24.83]",1560899184305
4,orientation,"[261.03,27.91,-24.49]",1560899184314
4,orientation,"[263.53,28.55,-23.65]",1560899184324
4,orientation,"[266.21,28.779999,-23.14]",1560899184335
4,orientation,"[269.18,28.59,-23.05]",1560899184344
4,orientation,"[272.07,28.369999,-23.89]",1560899184354
4,orientation,"[273.91998,28.82,-24.64]",1560899184365
4,orientation,"[275.85,29.09,-24.32]",1560899184375
4,orientation,"[279.54,27.68,-22.05]",1560899184384
4,orientation,"[283.97998,25.4,-20.439999]",1560899184395
4,orientation,"[287.49,23.769999,-19.369999]",1560899184405
4,orientation,"[290.91,22.039999,-18.46]",1560899184414
4,orientation,"[294.66998,19.89,-17.88]",1560899184425
4,orientation,"[298.22998,18.289999,-18.119999]",1560899184435
4,orientation,"[301.22,17.32,-18.49]",1560899184444
4,orientation,"[303.18,17.05,-18.42]",1560899184454
4,orientation,"[305.16998,16.67,-18.4]",1560899184465
4,orientation,"[307.53,15.799999,-18.5]",1560899184474
4,orientation,"[309.43,15.089999,-18.369999]",1560899184484
4,orientation,"[311.11,14.58,-18.279999]",1560899184494
4,orientation,"[312.68,13.61,-17.92]",1560899184505
4,orientation,"[315.25,12.349999,-18.67]",1560899184515
4,orientation,"[316.94998,11.94,-19.199999]",1560899184524
4,orientation,"[319.34,11.58,-20.619999]",1560899184534
4,orientation,"[321.58,11.7699995,-22.199999]",1560899184544
4,orientation,"[324.07,12.15,-24.13]",1560899184555
4,orientation,"[325.15,13.04,-25.06]",1560899184565
4,orientation,"[324.74,13.83,-24.91]",1560899184575
4,orientation,"[324.22998,13.94,-24.67]",1560899184584
4,orientation,"[324.03,13.639999,-24.8]",1560899184594
4,orientation,"[323.25,13.75,-24.8]",1560899184604
4,orientation,"[321.18,14.599999,-24.13]",1560899184615
