timestamp,x,y,z,statusId
1560899183499000000,0.19153613,2.72939,9.289502,4
1560899183504000000,0.21068975,2.7868507,9.174581,4
1560899183510000000,0.2681506,2.8538885,9.021352,4
1560899183515000000,0.30645782,2.920926,8.944737,4
1560899183520000000,0.39264908,2.9496565,8.992621,4
1560899183524000000,0.4405331,3.0262709,9.069236,4
1560899183529000000,0.45010993,2.9879637,9.069236,4
1560899183534000000,0.49799395,2.96881,9.165004,4
1560899183539000000,0.49799395,2.8443117,9.260772,4
1560899183545000000,0.50757074,2.834735,9.375694,4
1560899183550000000,0.46926352,2.825158,9.5385,4
1560899183555000000,0.40222588,2.8060043,9.605537,4
1560899183559000000,0.31603462,2.815581,9.634268,4
1560899183564000000,0.32561144,2.767697,9.662998,4
1560899183569000000,0.2873042,2.7485435,9.739613,4
1560899183574000000,0.23942018,2.6910827,9.739613,4
1560899183580000000,0.20111294,2.7006595,9.720459,4
1560899183585000000,0.23942018,2.6719291,9.643845,4
1560899183590000000,0.17238252,2.6623523,9.643845,4
1560899183594000000,0.25857377,2.719813,9.557653,4
1560899183599000000,0.2777274,2.719813,9.414001,4
1560899183604000000,0.33518824,2.8443117,9.414001,4
1560899183610000000,0.33518824,2.8538885,9.299079,4
1560899183615000000,0.37349546,2.834735,9.251195,4
1560899183620000000,0.4405331,2.9017725,9.203311,4
1560899183625000000,0.4309563,2.8060043,9.232041,4
1560899183629000000,0.4309563,2.834735,9.260772,4
1560899183634000000,0.46926352,2.834735,9.270349,4
1560899183639000000,0.49799395,2.7868507,9.337387,4
1560899183644000000,0.4309563,2.767697,9.289502,4
1560899183650000000,0.4405331,2.681506,9.461885,4
1560899183655000000,0.37349546,2.7581203,9.442732,4
1560899183659000000,0.2777274,2.6623523,9.500193,4
1560899183664000000,0.2873042,2.681506,9.481039,4
1560899183669000000,0.2873042,2.681506,9.481039,4
1560899183675000000,0.2873042,2.681506,9.481039,4
1560899183680000000,0.32561144,2.7102363,9.481039,4
1560899183685000000,0.32561144,2.7102363,9.481039,4
1560899183689000000,0.38307226,2.7102363,9.385271,4
1560899183694000000,0.51714754,2.6048915,9.270349,4
1560899183699000000,0.60333884,2.633622,9.222465,4
1560899183704000000,0.6991069,2.585738,9.11712,4
1560899183710000000,0.7374141,2.6048915,8.963891,4
1560899183715000000,0.7469909,2.585738,8.839393,4
1560899183720000000,0.7086837,2.5570073,8.973468,4
1560899183725000000,0.7086837,2.4516625,8.848969,4
1560899183729000000,0.7086837,2.3750482,8.810662,4
1560899183734000000,0.7661445,2.3558946,8.810662,4
1560899183739000000,0.842759,2.2409728,8.734048,4
1560899183744000000,0.93852705,2.2409728,8.63828,4
1560899183750000000,1.0247183,2.2122424,8.494628,4
1560899183755000000,1.1300632,2.1643584,8.303091,4
1560899183759000000,1.292869,2.1068976,8.197746,4
1560899183764000000,1.4748282,2.2026656,8.2169,4
1560899183769000000,1.6950948,2.1739352,8.015787,4
1560899183775000000,1.8770541,2.1452048,7.881712,4
1560899183780000000,2.0494366,2.1643584,7.872135,4
1560899183785000000,2.0111294,2.2505496,7.881712,4
1560899183789000000,1.8579005,2.4612393,7.833828,4
1560899183794000000,1.541866,2.72939,7.9966335,4
1560899183799000000,0.6991069,3.7924154,8.264784,4
1560899183804000000,1.6472107,3.41892,9.050082,4
1560899183810000000,1.091756,2.5953147,8.992621,4
1560899183815000000,-3.5051112,-0.009576807,8.130709,4
1560899183820000000,-1.6376339,1.9728222,6.8282633,4
1560899183824000000,-0.62249243,2.9496565,7.575254,4
1560899183829000000,0.31603462,3.323152,8.236053,4
1560899183834000000,3.4859576,-0.49799395,5.8705826,4
1560899183839000000,7.192182,-2.480393,4.8267107,4
1560899183845000000,6.579266,-1.934515,3.4763808,4
1560899183850000000,6.4068837,-0.60333884,3.5242648,4
1560899183855000000,5.544971,1.13964,4.3957543,4
1560899183859000000,4.6255975,2.4229321,5.2289367,4
1560899183864000000,3.6966474,3.4572272,7.0485296,4
1560899183869000000,2.719813,3.9073372,9.624691,4
