,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelCycling,labelRunning,labelSquats,labelLunges,labelJumpingjack,labelSkipping,mag_phone_x,mag_phone_y,mag_phone_z,pca_1,pca_2,pca_3,pca_4,pca_5
2019-06-21 16:39:40.121,0.111215715357,-0.157002716398,-0.907339951709,-0.0541564683547,-0.104132800858,0.0212399399179,1,0,0,0,0,0,19.3010103126,17.8108154672,-554.221852701,0.345162019766,-0.38919338694,0.101412890836,-0.0184956990167,0.0294773364292
2019-06-21 16:39:40.371,0.000944234018507,-0.208054966858,-0.929614774836,-0.0349407395384,-0.197902210996,-0.223555166755,1,0,0,0,0,0,20.2723977951,18.7020527837,-555.480191461,0.353877849546,-0.404758425916,0.1007694316,-0.0318897540987,0.00111794620539
2019-06-21 16:39:40.621,0.273468758652,0.012455596224,-1.01070947485,-0.859019617162,0.670329233581,-0.863429721279,1,0,0,0,0,0,21.7426963698,32.6765930783,-551.748208847,0.268676467005,-0.379701182427,0.0157945091191,0.0566709907687,-0.100938084793
2019-06-21 16:39:40.871,0.295678243222,0.0820035333976,-1.05448913685,-0.442497757618,-0.218780289966,-0.0317141968224,1,0,0,0,0,0,20.8290967351,43.0033492556,-546.17394712,0.210472712927,-0.330285086596,0.000442045945471,-0.0163874143045,0.0387205834331
2019-06-21 16:39:41.121,0.0811031706544,0.0756071800317,-0.956590023294,0.219461895766,-0.455018422851,0.394712276104,1,0,0,0,0,0,17.3612922916,41.5060874734,-548.573984291,0.220518545806,-0.312736607558,0.00265852691849,-0.0682217892085,0.09380017933
2019-06-21 16:39:41.371,0.321918205611,0.338393151667,-0.850175177805,-0.966367926904,1.55658765142,-0.0711211847336,1,0,0,0,0,0,20.7941561893,45.111085674,-543.446515931,0.121872893375,-0.305416592767,-0.0336603196128,0.134695734594,-0.0273357209967
2019-06-21 16:39:41.621,0.734124647904,0.552572430054,-0.631947130029,-2.54605489504,1.9886832906,0.415579561912,1,0,0,0,0,0,31.8363994215,47.3230985286,-517.925794792,-0.0902288101266,-0.260279858386,0.0916313936094,0.314112110021,0.0325966558512
2019-06-21 16:39:41.871,0.771292516452,0.588375045166,-0.186259558377,-1.98703386038,0.774390421168,-0.256303972029,1,0,0,0,0,0,35.9756506429,39.4615302516,-496.275283681,-0.242395406256,-0.185704731607,0.307167598161,0.22494528615,-0.0287129206208
2019-06-21 16:39:42.121,0.589950594251,0.736777872253,0.0806267943285,0.183368291613,0.0359672928402,-1.47866688696,1,0,0,0,0,0,29.5792510394,43.6287186522,-491.559791149,-0.320856598862,-0.0918380131508,0.338734070856,0.000425098153416,-0.184771879611
2019-06-21 16:39:42.371,0.396656283557,0.930804242593,0.0322461375479,0.781176671414,-0.399247661762,-0.622299160102,1,0,0,0,0,0,23.0706514953,56.2517883452,-494.269885723,-0.352392235318,-0.0298383096255,0.233896752764,-0.0686547920502,-0.0608579944655
2019-06-21 16:39:42.621,0.254694186759,0.987378228184,-0.0566398378451,-0.0742155547579,-0.424976265765,-0.0572181875399,1,0,0,0,0,0,21.026468802,58.1251281458,-500.094317334,-0.321908469183,-0.0392126796158,0.161888796978,-0.00365156616794,0.0189474465593
2019-06-21 16:39:42.871,0.201651775412,0.961035449808,-0.0905042680851,-0.113083620795,-0.0221026940379,-0.205584937928,1,0,0,0,0,0,20.268900047,58.3123861296,-501.880353621,-0.302260864407,-0.0444252707374,0.146422052983,0.0180417584362,-0.0126798180284
2019-06-21 16:39:43.121,0.244765455204,0.95303230647,-0.0724682937214,0.0719073602368,0.122352812298,0.360957016934,1,0,0,0,0,0,20.5112092935,58.9594050039,-499.164808513,-0.317578632234,-0.0330532439605,0.161346269222,0.0268967288562,0.0564517638645
2019-06-21 16:39:43.371,0.350376723623,0.96571519709,-0.0463160172987,-0.256278058942,0.139927895786,0.325600666098,1,0,0,0,0,0,23.2042655619,55.6388858052,-498.77485112,-0.324406847163,-0.0553814633069,0.179932382721,0.0551971223327,0.0522839178112
2019-06-21 16:39:43.621,0.400157836318,0.907526135321,0.0825291206843,-0.701713741827,0.575011546908,0.285405744662,1,0,0,0,0,0,24.4690229571,52.4031275493,-493.435676923,-0.349487099459,-0.0463244894032,0.236590600427,0.127804399101,0.0319933691803
2019-06-21 16:39:43.871,0.47117981232,0.807230407968,0.309892400446,-0.446049179973,0.488164571845,0.271456694134,1,0,0,0,0,0,23.8820048456,46.8601429646,-484.570331449,-0.383943280159,-0.00601995446591,0.344822272032,0.125477495804,0.0253907533376
2019-06-21 16:39:44.121,0.480579047349,0.805590258133,0.260137053263,0.733215838768,-0.671889578687,-0.968333617275,1,0,0,0,0,0,23.7031831359,47.3535234015,-486.950712796,-0.370425633706,-0.010986289064,0.352681458517,-0.0645844347172,-0.104200412367
2019-06-21 16:39:44.371,0.183221090984,0.906849749179,-0.0162731328015,0.883724222294,-0.781216896852,-1.18581346022,1,0,0,0,0,0,17.9717793331,58.3958985212,-496.901842185,-0.317333459475,-0.000293202557004,0.203676122962,-0.115675920896,-0.123230225373
2019-06-21 16:39:44.621,-0.0418353578144,0.981194001896,-0.1882554119,0.161785680895,0.130353821566,0.0374035106475,1,0,0,0,0,0,10.6934954436,63.2735177613,-504.157782103,-0.257386059887,0.0256988304755,0.0794507969163,0.00199925705915,0.0137670532414
2019-06-21 16:39:44.871,0.0239469239493,0.951948154891,-0.247673821367,0.123899170433,-0.0149085134758,0.348409460008,1,0,0,0,0,0,12.5126997168,61.6719864368,-507.074148614,-0.23454526751,-0.00606327657421,0.0729490745676,-0.00102431348427,0.0610153600167
2019-06-21 16:39:45.121,0.0765106630685,0.927808341606,-0.199862607022,-0.173717120792,-0.020569505942,0.159011223714,1,0,0,0,0,0,15.3948342879,61.4455801243,-505.021614351,-0.257440587556,-0.0207031287026,0.097678668282,0.0220129889966,0.0373472770322
2019-06-21 16:39:45.371,0.169094457563,0.978328279746,-0.159715263613,-0.387921084981,0.584134610272,0.311400859862,1,0,0,0,0,0,16.3677744475,58.7844497881,-502.405445144,-0.274638337051,-0.0173415863692,0.112605482984,0.0817624729122,0.0382587446226
2019-06-21 16:39:45.621,0.262414498478,0.950307015408,-0.171928337474,0.0299816986628,0.651886903078,0.11316995518,1,0,0,0,0,0,20.6794779956,56.4769319964,-500.085843101,-0.2866838125,-0.0438291755232,0.152751709478,0.0522943264225,0.0103969235772
2019-06-21 16:39:45.871,0.242389124117,0.892198263693,-0.113781711563,0.0908775933778,0.829711010622,-0.395599668778,1,0,0,0,0,0,19.1804452257,55.5462537292,-495.257017839,-0.294756744244,-0.0122735663264,0.193594633561,0.0559621668464,-0.0634611073055
