,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelCycling,labelRunning,labelSquats,labelLunges,labelJumpingjack,labelSkipping,mag_phone_x,mag_phone_y,mag_phone_z
2019-06-21 16:39:40.121,-0.1162735810150952,0.54673358814133188,-0.60738086184942297,0.000132522854667,0.104200311307,-0.114857872799,1,0,0,0,0,0,0.758551520269,51.9389185931,-532.979782764
2019-06-21 16:40:05.121,-0.45769028534760026,0.3315770329655765,-0.73613279187999048,0.0319452852251,-0.0391725987829,0.00174313754239,1,0,0,0,0,0,-16.4564132278,34.9747728502,-551.506891859
2019-06-21 16:40:30.121,-0.56974370783026762,0.25295410156249065,-0.67117616595641449,0.0240496081116,-0.0209229052724,0.00234167396747,1,0,0,0,0,0,-32.0420592337,17.8329361979,-547.086575373
2019-06-21 16:40:55.121,-0.6129595316373585,0.25930993373577754,-0.64879547632655854,-0.0739007350424,0.0134453368684,-0.0752793613523,1,0,0,0,0,0,-25.9069183973,22.9100899696,-551.184513826
2019-06-21 16:41:20.121,-0.63633032945487367,0.25868243437547167,-0.61926764708299042,0.00100019464017,-0.0156270768559,-0.0198908672208,1,0,0,0,0,0,-31.1407990456,18.2164777609,-546.991841316
2019-06-21 16:41:45.121,-0.65500274071326925,0.25671296853284331,-0.59776528065020795,-0.000572682703844,-0.010007139245,-0.00628557167883,1,0,0,0,0,0,-36.4922902951,16.84580106,-544.111407867
2019-06-21 16:42:10.121,-0.64084612406217523,0.34560550176179478,-0.5356341692117621,0.0857728472676,-0.0377369487939,0.0307142205273,1,0,0,0,0,0,-38.3250477864,34.7284160944,-535.995378127
2019-06-21 16:42:35.121,-0.63574934005737738,0.29628661962653857,-0.59746173711922479,-0.0376203785199,0.00111638144447,-0.0493750719087,1,0,0,0,0,0,-32.8237018402,50.6185521529,-533.996584819
2019-06-21 16:43:00.121,-0.63945229236895673,0.31593920634341666,-0.59588725750264182,-0.0517701317396,0.0172384583237,-0.0540130863413,1,0,0,0,0,0,-35.1960046658,50.6837416245,-530.17059913
2019-06-21 16:43:25.121,-0.63855438966017419,0.33207462384151787,-0.58338533915004454,-0.0146980302288,-0.00337763887673,-0.0485047620677,1,0,0,0,0,0,-41.6372307814,47.1083775484,-525.322482256
2019-06-21 16:43:50.121,-0.63869885297922602,0.34427857398985923,-0.57914299231310706,0.0575607536494,-0.0273731351369,0.0269086798428,1,0,0,0,0,0,-31.6276972294,45.4809833673,-534.743070896
2019-06-21 16:44:15.121,-0.600045974438012,0.449536580305813,-0.52418422698975509,0.0867072493451,-0.0923471517018,0.068549914661,1,0,0,0,0,0,-37.7381265163,33.1193754856,-536.001390457
2019-06-21 16:44:40.121,-0.63729620266078102,0.39059189960165741,-0.54773013331308351,-0.0348590912544,0.00327599474002,-0.101306610781,1,0,0,0,0,0,-30.8009893777,53.7092428585,-530.052316654
2019-06-21 16:45:05.121,-0.61510429887277607,0.45788229013901266,-0.53202988754253688,-0.0755823458243,0.0252990920001,-0.0678500790487,1,0,0,0,0,0,-43.0655442661,38.4651705745,-528.101613693
2019-06-21 16:45:30.121,-0.35953834048267003,0.86379973742424498,-0.11703165152779468,-0.000915268361758,-0.0939898109902,0.078297046667,1,0,0,0,0,0,-26.0119639164,50.6035940988,-504.582971177
2019-06-21 16:45:55.121,0.091439393850468745,-0.1400805803445192,-0.6488538155189516,0.0566520417937,-0.0699462343475,0.114572832096,1,0,0,0,0,0,-6.80435696015,26.1790308769,-538.498138464
2019-06-21 16:46:20.121,0.27116483908432409,0.71641327784609632,-0.35565554178672437,-0.0395652424918,-0.113502817503,-0.0507404742795,1,1,0,0,0,0,2.36810759398,57.0334133368,-526.247399697
2019-06-21 16:46:45.121,0.51914160068225546,0.88528541418228213,-0.23509597778321167,-0.00280361466945,-0.0137869817053,-0.0258396783388,0,1,0,0,0,0,13.0911824336,64.3047332397,-522.448087509
2019-06-21 16:47:10.121,0.55747807942909189,0.91022871090821222,-0.22863243176386058,-0.0133684588981,-0.0304190782603,-0.0424950941979,0,1,0,0,0,0,14.2982464387,65.2880335404,-520.308637362
2019-06-21 16:47:35.121,0.60161106259217356,0.90414178137670431,-0.16445358126774473,0.0293806566514,-0.0475059097531,-0.049577147717,0,1,0,0,0,0,16.0886526295,64.3552270777,-521.84075191
2019-06-21 16:48:00.121,0.55278351242469159,0.93309258125920425,-0.16023571942300735,0.0193526798828,-0.0262640957499,-0.0406799828687,0,1,0,0,0,0,14.3192808409,65.7663448849,-520.491119261
2019-06-21 16:48:25.121,0.48182822757874549,0.99852377926388514,-0.14801388793439293,0.0271040095503,0.00750730191827,-0.0410187930844,0,1,0,0,0,0,-3.32910418478,70.6842925158,-508.904451197
2019-06-21 16:48:50.121,0.40471772889830426,1.0471419875685326,-0.10568226994696288,-0.0379484656312,0.0619759652811,-0.0319674779942,0,1,0,0,0,0,-11.9025328971,70.3805543436,-509.81412436
2019-06-21 16:49:15.121,0.26917300914711179,1.0840314108883493,-0.17288269951467661,0.0244222982279,-0.162052371755,-0.0637295926388,0,1,0,0,0,0,-17.3259403502,69.8903331834,-509.793696382
2019-06-21 16:49:40.121,0.084750015671231721,1.1134452407424671,-0.036329424059065765,-0.0106342789857,0.0325909430795,0.0280327794852,0,1,0,0,0,0,11.5343880525,65.8495311634,-522.023193277
2019-06-21 16:50:05.121,-0.025280679238802641,1.1059914872453098,-0.07035322447088331,0.0130108040473,-0.000751699890469,-0.00949895829752,0,1,0,0,0,0,8.02750501891,65.9505204072,-523.215447379
2019-06-21 16:50:30.121,-0.037692326815450337,1.1303534191580831,-0.1015175082525758,0.0533236420436,-0.0797096053439,0.00921278667657,0,1,0,0,0,0,2.47891456284,65.9844061164,-526.946233726
